home_win_pct,home_obp,home_home_runs,home_ops,home_era,home_whip,home_strikeouts,away_win_pct,away_obp,away_home_runs,away_ops,away_era,away_whip,away_strikeouts,is_home,game_winner
1.0,.435,11,1.290,3.50,1.44,22,0.0,.326,2,.703,12.38,2.19,15,1,1
0.5,.258,3,.625,1.00,1.06,17,0.5,.282,1,.548,4.24,1.00,13,1,0
1.0,.387,2,.833,2.00,0.78,14,0.0,.209,1,.475,4.50,1.69,15,1,1
0.3333333333333333,.354,2,.750,7.67,1.44,26,0.6666666666666666,.350,10,.956,4.85,1.50,26,1,0
0.0,.313,4,.757,8.05,1.89,24,1.0,.400,5,.966,4.26,1.26,28,1,0
0.5,.278,2,.660,4.26,1.16,10,0.5,.297,2,.719,4.00,1.11,14,1,1
0.5,.310,2,.679,4.00,0.89,18,0.5,.250,3,.635,3.71,1.24,17,1,1
0.5,.347,1,.732,1.50,0.89,21,0.5,.243,0,.505,2.12,1.47,12,1,0
0.6666666666666666,.339,1,.707,2.70,1.33,27,0.3333333333333333,.326,2,.600,3.49,1.41,27,1,1
0.6666666666666666,.310,3,.701,3.00,1.19,31,0.3333333333333333,.286,3,.603,3.60,1.16,15,1,1
0.6666666666666666,.290,1,.514,1.33,0.93,27,0.3333333333333333,.260,1,.476,1.80,1.12,23,1,1
1.0,.310,3,.717,2.33,1.19,28,0.0,.288,3,.580,4.50,1.25,19,1,1
0.3333333333333333,.353,4,.877,5.00,1.26,24,0.4,.281,3,.589,5.32,1.52,36,1,0
1.0,.315,12,.818,2.93,1.28,59,0.0,.328,3,.728,6.75,1.11,25,1,1
0.3333333333333333,.321,2,.577,4.00,1.19,22,0.6666666666666666,.295,6,.722,1.38,1.19,32,1,0
0.3333333333333333,.313,6,.808,5.79,1.71,30,0.6666666666666666,.383,5,.851,4.67,1.22,39,1,1
1.0,.427,15,1.231,3.33,1.26,32,0.0,.298,3,.643,12.75,2.08,21,1,1
0.5,.333,3,.724,6.00,1.39,37,0.5,.338,10,.863,4.50,1.41,32,1,1
0.3333333333333333,.282,4,.650,4.00,0.93,25,0.6666666666666666,.250,5,.658,3.46,1.08,22,1,0
0.6666666666666666,.349,2,.747,2.33,0.93,31,0.3333333333333333,.255,1,.555,3.60,1.48,19,1,1
0.75,.331,2,.699,2.31,1.28,36,0.25,.317,3,.596,3.22,1.35,32,1,1
0.3333333333333333,.282,2,.632,4.82,1.39,16,0.6666666666666666,.336,5,.821,2.67,1.07,20,1,0
0.3333333333333333,.260,4,.630,1.00,1.00,23,0.6666666666666666,.276,2,.563,3.46,1.00,19,1,0
1.0,.389,5,.909,2.00,0.78,19,0.0,.208,2,.489,6.38,1.75,19,1,1
0.75,.285,5,.682,2.50,1.17,42,0.25,.285,3,.584,3.55,1.06,20,1,1
0.5,.398,5,.941,5.25,1.31,34,0.3333333333333333,.290,6,.638,6.23,1.73,42,1,1
0.5,.291,3,.554,3.25,1.08,30,0.5,.276,7,.667,1.59,1.06,41,1,1
1.0,.336,3,.754,1.75,0.94,36,0.0,.246,3,.484,4.78,1.41,28,1,1
0.5,.283,7,.694,0.75,0.92,36,0.0,.206,2,.436,7.31,1.72,24,1,1
0.0,.293,3,.617,12.27,2.09,28,0.5,.329,4,.733,3.89,1.30,27,1,0
0.6,.364,10,.881,4.60,1.40,45,0.2,.289,3,.591,4.61,1.29,27,1,1
0.75,.377,8,.905,3.75,1.19,52,0.25,.259,2,.552,4.36,1.48,24,1,1
0.5,.333,7,.784,3.75,0.94,34,0.6,.277,6,.656,4.09,1.36,50,1,1
0.6,.337,4,.725,3.75,1.33,40,0.5,.297,5,.660,2.38,1.21,35,1,0
0.75,.361,2,.769,2.00,0.81,41,0.2,.287,3,.544,3.86,1.44,42,1,1
0.6,.344,4,.769,5.20,1.29,46,0.25,.293,8,.752,5.75,1.69,33,1,1
0.75,.382,7,.889,2.43,0.81,29,0.75,.266,2,.532,3.25,1.17,28,1,0
0.5,.269,1,.469,2.75,1.08,37,0.75,.276,6,.682,3.09,0.97,32,1,0
1.0,.358,3,.784,1.80,0.96,44,0.5,.325,7,.810,3.86,1.31,24,1,1
0.4,.303,6,.645,4.40,1.36,35,0.25,.369,4,.825,6.55,1.22,34,1,0
0.4,.284,8,.680,4.60,1.56,48,0.42857142857142855,.340,10,.783,5.75,1.67,48,1,0
1.0,.329,14,.834,2.62,1.22,73,0.0,.243,4,.478,5.18,1.50,35,1,1
0.4,.299,7,.692,3.20,0.93,40,0.6666666666666666,.272,7,.631,3.40,1.21,58,1,0
0.6666666666666666,.311,5,.685,3.47,1.23,46,0.4,.275,6,.621,2.36,1.07,44,1,1
0.8,.371,3,.797,1.60,0.84,56,0.16666666666666666,.284,3,.543,4.47,1.53,46,1,1
0.75,.381,18,1.100,4.25,1.28,43,0.6,.382,7,.897,4.80,1.22,48,1,0
0.6666666666666666,.356,4,.771,4.83,1.26,58,0.2,.291,8,.719,5.32,1.70,40,1,1
0.4,.282,8,.687,2.20,1.09,43,0.2,.253,3,.520,6.37,1.59,37,1,0
